id,prediction rate
0,2
1,2
2,2
3,2
4,3
5,1
6,4
7,2
8,1
9,1
10,3
11,2
12,1
13,4
14,2
15,3
16,2
17,3
18,1
19,4
20,1
21,3
22,1
23,1
24,2
25,1
26,4
27,4
28,4
29,3
30,2
31,1
32,4
33,2
34,3
35,4
36,3
37,1
38,1
39,2
40,4
41,3
42,4
43,2
44,4
45,1
46,1
47,4
48,4
49,4
50,4
51,2
52,4
53,1
54,4
55,4
56,4
57,4
58,4
59,4
60,1
61,1
62,4
63,4
64,2
65,4
66,2
67,3
68,4
69,4
70,3
71,2
72,2
73,1
74,3
75,1
76,2
77,1
78,4
79,4
80,4
81,2
82,4
83,2
84,1
85,1
86,4
87,4
88,2
89,3
90,1
91,4
92,1
93,4
94,2
95,2
96,2
97,2
98,4
99,2
100,3
101,4
102,4
103,4
104,3
105,2
106,2
107,2
108,3
109,3
110,1
111,4
112,2
113,2
114,1
115,2
116,4
117,1
118,4
119,4
120,3
121,4
122,2
123,2
124,4
125,1
126,2
127,1
128,2
129,3
130,4
131,2
132,1
133,2
134,3
135,4
136,2
137,3
138,4
139,1
140,3
141,2
142,1
143,2
144,2
145,1
146,4
147,3
148,2
149,3
150,2
151,3
152,3
153,3
154,1
155,3
156,2
157,4
158,2
159,4
160,1
161,2
162,4
163,3
164,2
165,4
166,1
167,3
168,4
169,4
170,4
171,4
172,4
173,3
174,4
175,2
176,3
177,1
178,4
179,4
180,2
181,2
182,2
183,2
184,2
185,2
186,3
187,1
188,4
189,4
190,2
191,4
192,1
193,4
194,2
195,1
196,3
197,3
198,2
199,4
200,4
201,1
202,4
203,2
204,3
205,2
206,2
207,4
208,4
209,2
210,3
211,2
212,4
213,2
214,4
215,2
216,4
217,4
218,2
219,2
220,2
221,4
222,2
223,4
224,4
225,2
226,4
227,4
228,2
229,2
230,4
231,1
232,4
233,2
234,2
235,4
236,1
237,4
238,2
239,3
240,4
241,2
242,1
243,3
244,2
245,4
246,1
247,3
248,3
249,1
250,2
251,4
252,2
253,4
254,4
255,4
256,4
257,1
258,2
259,2
260,1
261,2
262,4
263,2
264,4
265,1
266,2
267,4
268,2
269,2
270,1
271,3
272,2
273,4
274,3
275,2
276,4
277,2
278,1
279,2
280,2
281,2
282,1
283,4
284,4
285,2
286,2
287,2
288,3
289,2
290,4
291,2
292,3
293,1
294,4
295,2
296,2
297,3
298,4
299,1
300,4
301,3
302,4
303,2
304,4
305,2
306,1
307,2
308,1
309,3
310,1
311,4
312,2
313,2
314,2
315,1
316,4
317,4
318,3
319,2
320,2
321,3
322,4
323,2
324,4
325,4
326,2
327,3
328,2
329,2
330,2
331,4
332,4
333,1
334,4
335,4
336,1
337,1
338,4
339,3
340,4
341,2
342,2
343,4
344,4
345,2
346,2
347,2
348,4
349,4
350,4
351,4
352,4
353,1
354,2
355,4
356,2
357,1
358,4
359,3
360,2
361,1
362,2
363,4
364,4
365,4
366,1
367,1
368,4
369,4
370,3
371,3
372,1
373,3
374,4
375,1
376,4
377,4
378,2
379,4
380,3
381,2
382,3
383,2
384,3
385,4
386,1
387,1
388,2
389,4
390,2
391,2
392,2
393,4
394,4
395,2
396,2
397,2
398,4
399,3
400,3
401,4
402,4
403,4
404,4
405,4
406,4
407,3
408,4
409,4
410,4
411,4
412,2
413,3
414,4
415,2
416,3
417,4
418,2
419,3
420,1
421,4
422,3
423,4
424,1
425,2
426,2
427,2
428,4
429,4
430,2
431,2
432,4
433,2
434,4
435,3
436,4
437,4
438,4
439,3
440,4
441,4
442,3
443,2
444,4
445,3
446,2
447,3
448,1
449,4
450,2
451,3
452,2
453,1
454,3
455,3
456,4
457,1
458,3
459,4
460,3
461,3
462,3
463,4
464,4
465,2
466,3
467,2
468,4
469,2
470,2
471,2
472,1
473,3
474,2
475,4
476,1
477,2
478,3
479,4
480,4
481,3
482,4
483,4
484,4
485,4
486,2
487,3
488,2
489,3
490,2
491,4
492,1
493,2
494,1
495,4
496,1
497,4
498,4
499,3
